tasktype,ID,sumscore,nitems,group,gp,tt
wGJTU,26,37,39,immersion,2,5
wGJTU,27,38,40,immersion,2,5
wGJTU,28,37,40,immersion,2,5
wGJTU,29,38,40,native,1,5
wGJTU,30,37,40,classroom,3,5
wGJTU,31,35,40,immersion,2,5
wGJTU,32,30,40,classroom,3,5
wGJTU,33,38,40,native,1,5
wGJTU,34,31,39,classroom,3,5
wGJTU,35,35,40,native,1,5
wGJTU,36,32,40,native,1,5
wGJTU,37,30,40,immersion,2,5
wGJTU,38,36,40,native,1,5
wGJTU,39,38,40,classroom,3,5
wGJTU,40,36,40,classroom,3,5
wGJTU,41,32,39,classroom,3,5
wGJTU,42,28,40,classroom,3,5
wGJTU,43,39,40,native,1,5
wGJTU,44,36,40,native,1,5
wGJTU,45,34,40,native,1,5
wGJTU,46,32,40,immersion,2,5
wGJTU,47,37,40,native,1,5
wGJTU,48,36,40,immersion,2,5
wGJTU,49,35,40,classroom,3,5
wGJTU,50,30,40,immersion,2,5
wGJTU,51,29,40,immersion,2,5
wGJTU,52,37,40,native,1,5
wGJTU,53,36,40,classroom,3,5
wGJTU,54,34,40,native,1,5
wGJTU,55,35,40,immersion,2,5
wGJTU,56,38,40,native,1,5
wGJTU,57,24,39,classroom,3,5
wGJTU,58,29,40,immersion,2,5
wGJTU,59,36,39,immersion,2,5
wGJTU,60,36,40,classroom,3,5
wGJTU,61,27,40,native,1,5
wGJTU,62,35,40,immersion,2,5
wGJTU,63,40,40,classroom,3,5
wGJTU,64,35,40,immersion,2,5
wGJTU,65,40,40,classroom,3,5
wGJTU,66,40,40,native,1,5
wGJTU,67,39,40,classroom,3,5
wGJTU,68,26,40,classroom,3,5
wGJTU,69,39,40,native,1,5
wGJTU,70,35,40,native,1,5
wGJTU,71,23,39,immersion,2,5
wGJTU,72,20,36,immersion,2,5
wGJTU,73,37,39,native,1,5
wGJTU,74,39,40,immersion,2,5
wGJTU,75,27,38,classroom,3,5
wGJTU,76,38,40,immersion,2,5
wGJTU,77,34,40,immersion,2,5
wGJTU,78,39,40,native,1,5
wGJTU,79,37,40,classroom,3,5
wGJTU,80,20,38,immersion,2,5
wGJTU,81,33,40,classroom,3,5
wGJTU,82,38,40,native,1,5
wGJTU,83,36,40,immersion,2,5
wGJTU,84,37,40,native,1,5
wGJTU,85,38,40,immersion,2,5
wGJTU,86,39,40,native,1,5
wGJTU,87,36,40,native,1,5
wGJTU,88,36,40,classroom,3,5
wGJTU,89,39,40,native,1,5
wGJTU,90,40,40,native,1,5
wGJTU,91,32,40,classroom,3,5
wGJTU,92,38,40,immersion,2,5
wGJTU,93,38,40,immersion,2,5
wGJTU,94,33,40,immersion,2,5
wGJTU,95,33,40,classroom,3,5
wGJTU,96,28,38,classroom,3,5
wGJTU,97,36,40,classroom,3,5
wGJTU,98,33,40,classroom,3,5
wGJTU,99,35,39,classroom,3,5
wGJTU,100,37,40,native,1,5
wGJTU,101,36,40,classroom,3,5
wGJTU,102,30,37,immersion,2,5
wGJTU,103,32,39,classroom,3,5
wGJTU,104,24,40,classroom,3,5
wGJTU,105,37,40,native,1,5
wGJTU,106,39,40,native,1,5
wGJTU,107,37,40,immersion,2,5
wGJTU,108,36,39,classroom,3,5
wGJTU,109,38,40,immersion,2,5
wGJTU,110,39,40,native,1,5
wGJTU,111,37,40,native,1,5
wGJTU,112,31,39,immersion,2,5
wGJTU,113,31,40,classroom,3,5
wGJTU,114,36,40,classroom,3,5
wGJTU,115,35,40,immersion,2,5
wGJTU,116,32,40,immersion,2,5
wGJTU,117,36,40,classroom,3,5
wGJTU,118,37,40,native,1,5
wGJTU,119,25,40,classroom,3,5
wGJTU,120,36,40,classroom,3,5
wGJTU,121,33,38,immersion,2,5
wGJTU,122,29,40,classroom,3,5
wGJTU,123,32,40,immersion,2,5
wGJTU,124,38,39,native,1,5
wGJTU,125,33,40,immersion,2,5
wGJTU,126,37,40,immersion,2,5
wGJTU,127,38,40,native,1,5
wGJTU,128,28,39,classroom,3,5
wGJTU,129,29,40,classroom,3,5
wGJTU,130,39,39,classroom,3,5
wGJTU,131,37,40,native,1,5
wGJTU,132,39,40,native,1,5
wGJTU,133,39,40,native,1,5
wGJTU,134,39,40,immersion,2,5
wGJTU,135,29,40,immersion,2,5
